Sample,Gene,Expression,Expr Level (Z-Score),CN Type,Minor Allele,Copy Number,CN Segment Posn.,Average Ploidy,Study,CNV Id
TCGA-EE-A3JA-06,BCL2,over,2.796,gain,1,5,18:53268743..80257174,2.48809245963677,540,4303163
TCGA-EW-A1IZ-01,BCL2,over,4.484,gain,1,8,18:63243359..64763429,1.94946252178175,414,4599887
TCGA-FF-A7CQ-01,BCL2,over,2.227,gain,1,6,18:50331618..80257174,2.1042619065883,632,4606169
TCGA-LP-A5U2-01,BCL2,over,64.752,gain,0,19,18:63213123..63289015,4.47678743673567,415,4608522
TCGA-61-2088-01,BCL2,over,10.164,gain,2,16,18:61946768..64681045,3.33657523090155,331,4623051
TCGA-GS-A9TU-01,BCL2,over,9.044,gain,2,16,18:41821568..64236916,4.3542606825122,632,4692399
TCGA-LP-A5U2-01,BCL2,over,64.752,gain,0,47,18:63104618..63129393,4.47678743673567,415,4747931
TCGA-EW-A1IZ-01,BCL2,over,4.484,gain,1,7,18:61755114..63243056,1.94946252178175,414,4882103
TCGA-LP-A5U2-01,BCL2,over,64.752,gain,0,10,18:63132955..63213108,4.47678743673567,415,4999784
TCGA-44-7669-01,BCL2,over,22.635,gain,2,13,18:63009323..63800521,3.51098159479164,417,5005642
TCGA-AC-A5XU-01,BCL2,over,2.195,gain,3,15,18:62577623..63480771,3.32549326186905,414,5019992
TCGA-AO-A03P-01,BCL2,over,5.837,gain,3,9,18:59718712..80257174,4.43381148466287,414,5132381
TCGA-LP-A5U2-01,BCL2,over,64.752,gain,2,43,18:63289354..63325598,4.47678743673567,415,5247439
TCGA-AC-A23C-01,BCL2,over,3.153,gain,1,6,18:63022691..63374725,2.18005887534063,414,5260146
TCGA-O2-A5IB-01,BCL2,over,3.211,gain,1,5,18:25814522..64261471,1.95844996058475,418,5439694
TCGA-B6-A0I6-01,BCL2,over,2.449,gain,1,6,18:62257734..63132969,1.68794002135877,414,5562958
TCGA-AN-A04A-01,BCL2,over,4.571,gain,1,11,18:63041493..63637890,3.09363366176655,414,5692623
TCGA-24-1551-01,BCL2,over,4.938,gain,0,6,18:62294279..63800851,2.13394003985592,331,5697179
TCGA-60-2712-01,BCL2,over,4.418,gain,3,11,18:63115202..63199868,3.3616464857319,418,5791856
TCGA-C8-A1HO-01,BCL2,over,6.877,gain,1,9,18:62565540..64646570,2.03836689750022,414,5940202

